epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,4271.13,0.74423,0.44075,0.8819,0.88652,0.78751,0.85687,0.62061,1.01818,0.64832,0.95397,0.000325298,0.000108433,0.000325298,0.000108433,0.000325298,0.000108433,0.000325298,0.000108433
80,4324.19,0.73159,0.4218,0.87244,0.88629,0.78227,0.85176,0.62142,1.01311,0.65959,0.95695,0.000311161,0.00010372,0.000311161,0.00010372,0.000311161,0.00010372,0.000311161,0.00010372
81,4377.77,0.73189,0.42865,0.87722,0.89998,0.7819,0.85373,0.61853,1.01241,0.6557,0.95442,0.000297024,9.9008e-05,0.000297024,9.9008e-05,0.000297024,9.9008e-05,0.000297024,9.9008e-05
82,4431.5,0.72195,0.41857,0.87784,0.91087,0.77839,0.85659,0.62192,1.01374,0.65166,0.95116,0.000282887,9.42956e-05,0.000282887,9.42956e-05,0.000282887,9.42956e-05,0.000282887,9.42956e-05
83,4485.48,0.73528,0.428,0.87572,0.91344,0.77405,0.85836,0.62,1.02067,0.64704,0.95429,0.00026875,8.95832e-05,0.00026875,8.95832e-05,0.00026875,8.95832e-05,0.00026875,8.95832e-05
84,4539.4,0.72504,0.42579,0.87484,0.90688,0.77887,0.85823,0.62193,1.0156,0.64849,0.95429,0.000254612,8.48708e-05,0.000254612,8.48708e-05,0.000254612,8.48708e-05,0.000254612,8.48708e-05
85,4592.9,0.7203,0.42125,0.86729,0.89998,0.7845,0.85351,0.62298,1.00488,0.64919,0.95241,0.000240475,8.01584e-05,0.000240475,8.01584e-05,0.000240475,8.01584e-05,0.000240475,8.01584e-05
86,4646.72,0.72314,0.421,0.87395,0.89278,0.79149,0.85542,0.62219,1.0136,0.65359,0.95487,0.000226338,7.5446e-05,0.000226338,7.5446e-05,0.000226338,7.5446e-05,0.000226338,7.5446e-05
87,4700.67,0.72467,0.41739,0.87547,0.90278,0.79059,0.85412,0.62177,1.01382,0.64584,0.95289,0.000212201,7.07336e-05,0.000212201,7.07336e-05,0.000212201,7.07336e-05,0.000212201,7.07336e-05
88,4754.36,0.71895,0.42233,0.87431,0.90692,0.79341,0.858,0.62298,1.01697,0.65016,0.95352,0.000198064,6.60212e-05,0.000198064,6.60212e-05,0.000198064,6.60212e-05,0.000198064,6.60212e-05
